Consecutive Time,Voltage,Current (raw),Capacity (normalized),Standard Discharge Capacity,Battery Temperature,Ambient Temperature,Step Num,Time[s],SOC
53712.9317,3.350217,48.76984,0.037376163,97.61355,-0.4204888,-0.6390162,6,265,0.013441542
53717.9315,3.3522,48.76352,0.038069162,97.61355,-0.3956444,-0.712335,6,270,0.013695156
53722.9317,3.354412,48.76659,0.038762108,97.61355,-0.3983377,-0.7301306,6,275,0.01394877
53727.9312,3.356333,48.75169,0.039454942,97.61355,-0.3963985,-0.7130861,6,280,0.014202384
53732.9313,3.358572,48.76357,0.040147982,97.61355,-0.4977084,-0.7389032,6,285,0.014455998
53737.9317,3.360094,48.74902,0.040840764,97.61355,-0.4217404,-0.7006816,6,290,0.014709612
53742.9315,3.361899,48.7634,0.041533865,97.61355,-0.4244019,-0.7562048,6,295,0.014963226
53747.9316,3.363621,48.76447,0.042226853,97.61355,-0.388094,-0.7500942,6,300,0.01521684
53752.9311,3.365366,48.76054,0.042919789,97.61355,-0.4331725,-0.7574218,6,305,0.015470454
53757.9311,3.366676,48.74995,0.043612675,97.61355,-0.4270667,-0.789078,6,310,0.015724068
53762.9315,3.367815,48.76886,0.044305581,97.61355,-0.4874671,-0.789078,6,315,0.015977682
53767.9313,3.369388,48.76979,0.044998435,97.61355,-0.4750554,-0.7993219,6,320,0.016231296
53772.9314,3.37087,48.7572,0.045691556,97.61355,-0.4197727,-0.7666765,6,325,0.01648491
53777.9319,3.372149,48.75792,0.046384759,97.61355,-0.3834934,-0.6850796,6,330,0.016738524
53782.9311,3.373064,48.75032,0.047077511,97.61355,-0.4039459,-0.6602269,6,335,0.016992138
53787.9315,3.37391,48.76375,0.047770427,97.61355,-0.4558217,-0.8027385,6,340,0.017245752
53792.9319,3.37473,48.75903,0.048463456,97.61355,-0.2987271,-0.6758066,6,345,0.017499366
53797.9317,3.37585,48.75365,0.049156249,97.61355,-0.4311953,-0.7554505,6,350,0.01775298
53802.9314,3.376768,48.76344,0.049849288,97.61355,-0.3771628,-0.7240582,6,355,0.018006594
53807.9312,3.377322,48.77042,0.050542204,97.61355,-0.4833637,-0.800073,6,360,0.018260208
53812.9311,3.378322,48.77438,0.051234875,97.61355,-0.3844566,-0.6860399,6,365,0.018513822
53817.9314,3.379162,48.76921,0.051927985,97.61355,-0.392007,-0.8219776,6,370,0.018767436
53822.9313,3.379816,48.75557,0.052620953,97.61355,-0.4154096,-0.7698649,6,375,0.01902105
53827.9314,3.380287,48.75592,0.0533139,97.61355,-0.3729931,-0.712335,6,380,0.019274664
53832.9317,3.38083,48.76122,0.054006795,97.61355,-0.407859,-0.7698649,6,385,0.019528278
53837.9312,3.381254,48.76326,0.054699937,97.61355,-0.3294279,-0.6612062,6,390,0.019781892
53842.9317,3.381507,48.76913,0.055393047,97.61355,-0.3688931,-0.7761974,6,395,0.020035506
53847.9315,3.382148,48.75578,0.056086035,97.61355,-0.4209862,-0.7905487,6,400,0.02028912
53852.9312,3.382713,48.76482,0.056778839,97.61355,-0.4107424,-0.7803018,6,405,0.020542734
53857.9317,3.383279,48.75253,0.057471744,97.61355,-0.4570384,-0.8719245,6,410,0.020796348
53862.9312,3.383431,48.76028,0.058164742,97.61355,-0.3330493,-0.717691,6,415,0.021049962
53867.9313,3.383688,48.75427,0.058857546,97.61355,-0.3496262,-0.7720327,6,420,0.021303576
53872.9311,3.38426,48.74524,0.059550564,97.61355,-0.3401337,-0.7625341,6,425,0.02155719
53877.9311,3.38449,48.7569,0.060243276,97.61355,-0.3613428,-0.7686478,6,430,0.021810804
53882.9318,3.384999,48.76147,0.060936376,97.61355,-0.4395033,-0.8317304,6,435,0.022064418
53887.9317,3.385308,48.75174,0.061629272,97.61355,-0.4160972,-0.7932079,6,440,0.022318032
53892.9317,3.385433,48.75192,0.062322024,97.61355,-0.4543799,-0.8617118,6,445,0.022571646
53897.9315,3.385953,48.76468,0.063014786,97.61355,-0.438746,-0.7856582,6,450,0.02282526
53902.9314,3.386103,48.76196,0.063707508,97.61355,-0.3710889,-0.6726691,6,455,0.023078874
53907.9315,3.386409,48.77483,0.064400547,97.61355,-0.3550092,-0.6943463,6,460,0.023332488
53912.9315,3.386637,48.74503,0.065093514,97.61355,-0.3858982,-0.717691,6,465,0.023586102
53917.9317,3.38705,48.75339,0.065786492,97.61355,-0.3050478,-0.712335,6,470,0.023839716
53922.9311,3.387084,48.7739,0.066479244,97.61355,-0.3713297,-0.7257727,6,475,0.02409333
