Var1,Var2
0,-0.00838391736702247
0.0016,-0.00703188034885307
0.0032,-0.00590283776930107
0.0048,-0.00500895279316978
0.0064,-0.00432282302353565
0.008,-0.0036963179126742
0.0096,-0.00312822913956017
0.0112,-0.00263283818253628
0.0128,-0.00221083778045997
0.0144,-0.00183550624140328
0.016,-0.00149871665518761
0.0176,-0.00117898862082719
0.0192,-0.000889187985535326
0.0208,-0.000636062149060225
0.0224,-0.000399365305425933
0.024,-0.000179019754742009
0.0256,3.16814189072097e-05
0.0272,0.000211065668232602
0.0288,0.000385432041105663
0.0304,0.000546552807217241
0.032,0.000686491683913425
0.0336,0.00082764201504129
0.0352,0.000954477424612067
0.0368,0.00106962283350969
0.0384,0.00117551559277029
0.04,0.0012733995709073
0.0416,0.00135674036141805
0.0432,0.00141740061248129
0.0448,0.00149312598670407
0.0464,0.00155735011741573
0.048,0.001599824044846
0.0496,0.00162569152212416
0.0512,0.0016555176119312
0.0528,0.00167840465848292
0.0544,0.0016847134942453
0.056,0.00168132775952638
0.0576,0.00167275613815164
0.0592,0.00165849668581208
0.0608,0.00162316099923829
0.0624,0.00157403659108886
0.064,0.00151684207691535
0.0656,0.00147411081128807
0.0672,0.00143156019969232
0.0688,0.00138977542030138
0.0704,0.00135392762601283
0.072,0.00130902006493093
0.0736,0.00126259255517043
0.0752,0.00120646986622511
0.0768,0.00113000355885267
0.0784,0.00108212955478484
0.08,0.0010477145240424
0.0816,0.00100591284224837
0.0832,0.000963466494478511
0.0848,0.000908701501151404
0.0864,0.000846417995535605
0.088,0.000804118301993865
0.0896,0.000759929742155322
0.0912,0.000713066507579391
0.0928,0.000670574149795595
0.0944,0.000622342436760214
0.096,0.00057368142865869
0.0976,0.000530345915376397
0.0992,0.000488507352084829
0.1008,0.000451001849031909
0.1024,0.0004094670880294
0.104,0.000360759111299219
0.1056,0.000321477753292406
0.1072,0.000281399385553268
0.1088,0.000231776080654441
0.1104,0.000203355611917021
0.112,0.000166941553845411
0.1136,0.000119955467700395
0.1152,0.000100712455097226
0.1168,7.15190634333278e-05
0.1184,3.46737278765071e-05
0.12,1.55684996036618e-06
0.1216,-3.82113513606576e-05
0.1232,-7.55458804990772e-05
0.1248,-9.43844887246095e-05
0.1264,-0.000141835661217819
0.128,-0.000177095496149623
0.1296,-0.000193706425550986
0.1312,-0.000228730547143945
0.1328,-0.000243458070713625
0.1344,-0.000260072084799721
0.136,-0.000292906733765192
0.1376,-0.000319056357838734
0.1392,-0.000346446662179158
0.1408,-0.000357272024730397
0.1424,-0.000365298685106094
0.144,-0.00038056877671869
0.1456,-0.000397625329725456
0.1472,-0.000406240553595238
0.1488,-0.000421145551456688
0.1504,-0.000438886305200581
0.152,-0.000456300860663914
0.1536,-0.00046927407539206
0.1552,-0.000482046330636885
0.1568,-0.000496303714995606
0.1584,-0.000511447319613786
0.16,-0.000520902969084745
0.1616,-0.00052752543322181
0.1632,-0.000540634944058652
0.1648,-0.000549551526120977
0.1664,-0.000554196962326572
0.168,-0.000559332756959827
0.1696,-0.000578639746545493
0.1712,-0.000586859903748882
0.1728,-0.00058906342201809
0.1744,-0.000597223183660743
0.176,-0.000603581721275773
0.1776,-0.00060475396426
0.1792,-0.000600168188380779
0.1808,-0.000603590690749894
0.1824,-0.000611709832956786
0.184,-0.000621046036728763
0.1856,-0.000611616523701237
0.1872,-0.000624138700894919
0.1888,-0.000641291569514336
0.1904,-0.000645651456833472
0.192,-0.000636299215503679
0.1936,-0.000637418338793626
0.1952,-0.000642301988624213
0.1968,-0.000638273220398608
0.1984,-0.000637718205369457
0.2,-0.000640951617719942
0.2016,-0.000647359443667793
0.2032,-0.000636429606144339
0.2048,-0.000626449315819857
0.2064,-0.000628254122983219
0.208,-0.000632674362712788
0.2096,-0.000629556463761164
0.2112,-0.000621877182028074
0.2128,-0.000632693315359623
0.2144,-0.000637064738470539
0.216,-0.000631234317914497
0.2176,-0.000623295877495015
